Pop,X,Y,DAUID,Extra Time (seconds),Extra time (min)
198,6966418.793,729457.0596,35370585,-363.5,-6.058333333
199,6965533.611,728702.4134,35370586,-344,-5.733333333
196,6965238.466,729398.4338,35370587,-344,-5.733333333
197,6965430.93,727554.7554,35370588,-424,-7.066666667
218,6955847.354,731081.4338,35370278,-217.5,-3.625
219,6951455.47,725510.1981,35370158,528.5,8.808333333
216,6947666.74,724244.8204,35370340,322.5,5.375
217,6955342.134,730584.3971,35370277,-165.5,-2.758333333
222,6955810.011,729475.1469,35370272,-239.5,-3.991666667
223,6951689.738,726123.5293,35370156,426,7.1
220,6955460.213,729521.0491,35370271,-142,-2.366666667
221,6950964.448,725887.2714,35370159,547.5,9.125
210,6947287.81,725478.9304,35370349,430,7.166666667
211,6946850.843,725066.6784,35370347,375,6.25
208,6947527.434,724616.9863,35370343,362,6.033333333
209,6947276.017,724917.8357,35370344,367,6.116666667
214,6948082.358,724674.0171,35370342,342,5.7
215,6955955.638,731190.8304,35370279,-230.5,-3.841666667
212,6947125.628,725306.7406,35370348,376,6.266666667
213,6947960.026,724299.7937,35370341,298.5,4.975
42,6952496.621,720374.3616,35370519,-107,-1.783333333
43,6966452.224,721245.1438,35370621,-633.5,-10.55833333
40,6969067.271,714124.4302,35370638,-676.5,-11.275
41,6965683.009,725729.3868,35370620,-700,-11.66666667
46,6969491.698,724406.9182,35370622,-533,-8.883333333
47,6975398.441,720381.496,35370623,-509.5,-8.491666667
44,6975830.071,724497.3174,35370624,-532.5,-8.875
45,6977041.784,720764.246,35370625,-533.5,-8.891666667
34,6974140.863,716704.2474,35370636,-667,-11.11666667
35,6973088.134,708516.1961,35370633,-676.5,-11.275
32,6975828.713,710236.1101,35370630,-676.5,-11.275
33,6976257.166,713411.4531,35370635,-691.5,-11.525
38,6969146.72,713759.0348,35370639,-675.5,-11.25833333
39,6969711.229,713904.021,35370637,-699,-11.65
36,6972150.875,711068.6478,35370634,-676.5,-11.275
37,6946112.653,724346.2485,35370329,174.5,2.908333333
58,6946941.864,696720.632,35370750,-385.5,-6.425
59,6947331.366,695968.9831,35370751,-386.5,-6.441666667
56,6952988.478,695262.7116,35370752,-385.5,-6.425
57,6957198.219,694513.0868,35370753,-386.5,-6.441666667
62,6947762.366,718463.2838,35370870,-34,-0.566666667
63,6961226.074,692013.345,35370754,-435,-7.25
60,6963423.582,696476.6407,35370756,-498,-8.3
61,6964412.955,695827.4283,35370757,-510,-8.5
50,6948393.462,718313.3374,35370871,-62,-1.033333333
51,6945993.677,704012.8446,35370872,-122.5,-2.041666667
48,6950910.227,705148.675,35370873,-334.5,-5.575
49,6951843.141,718604.9522,35370874,-265.5,-4.425
54,6952210.417,718111.6163,35370875,-293.5,-4.891666667
55,6952690.888,718430.1853,35370876,-310,-5.166666667
52,6947082.255,718868.1896,35370877,40.5,0.675
53,6947692.761,718936.0671,35370878,-62.5,-1.041666667
10,6976824.848,724638.3469,35370563,-533.5,-8.891666667
11,6977416.899,728060.0392,35370564,-473,-7.883333333
8,6977341.805,728451.8747,35370565,-362,-6.033333333
9,6977594.38,728774.8394,35370566,-362,-6.033333333
14,6946924.123,717944.231,35370683,75.5,1.258333333
15,6977959.698,728813.3186,35370567,-362,-6.033333333
12,6976523.283,728455.9543,35370569,-362,-6.033333333
13,6946874.951,718549.6952,35370682,-17,-0.283333333
2,6946446.502,724166.9879,35370330,201.5,3.358333333
3,6947071.768,717502.008,35370684,63,1.05
1,6945979.381,716836.199,35370687,74.5,1.241666667
6,6947144.448,716431.649,35370688,-37.5,-0.625
7,6947097.732,715150.0892,35370689,-16,-0.266666667
4,6946175.488,723824.5244,35370331,126.5,2.108333333
5,6945848.262,717631.0574,35370685,75,1.25
26,6946181.494,724645.0378,35370328,244.5,4.075
27,6945523.953,724619.1257,35370325,218,3.633333333
24,6945299.223,724057.8919,35370322,163.5,2.725
25,6945836.669,724928.4926,35370327,291.5,4.858333333
30,6976314.666,707854.843,35370632,-675.5,-11.25833333
31,6945067.267,724440.2229,35370320,169.5,2.825
28,6945577.982,724872.6146,35370326,281,4.683333333
29,6976979.636,708761.3642,35370631,-676.5,-11.275
