fid,MEAN_X,MEAN_Y,DAUID
198,6966418.793,729457.0596,35370585
199,6965533.611,728702.4134,35370586
196,6965238.466,729398.4338,35370587
197,6965430.93,727554.7554,35370588
218,6955847.354,731081.4338,35370278
219,6951455.47,725510.1981,35370158
216,6947666.74,724244.8204,35370340
217,6955342.134,730584.3971,35370277
222,6955810.011,729475.1469,35370272
223,6951689.738,726123.5293,35370156
220,6955460.213,729521.0491,35370271
221,6950964.448,725887.2714,35370159
210,6947287.81,725478.9304,35370349
211,6946850.843,725066.6784,35370347
208,6947527.434,724616.9863,35370343
209,6947276.017,724917.8357,35370344
214,6948082.358,724674.0171,35370342
215,6955955.638,731190.8304,35370279
212,6947125.628,725306.7406,35370348
213,6947960.026,724299.7937,35370341
42,6952496.621,720374.3616,35370519
43,6966452.224,721245.1438,35370621
40,6969067.271,714124.4302,35370638
41,6965683.009,725729.3868,35370620
46,6969491.698,724406.9182,35370622
47,6975398.441,720381.496,35370623
44,6975830.071,724497.3174,35370624
45,6977041.784,720764.246,35370625
34,6974140.863,716704.2474,35370636
35,6973088.134,708516.1961,35370633
32,6975828.713,710236.1101,35370630
33,6976257.166,713411.4531,35370635
38,6969146.72,713759.0348,35370639
39,6969711.229,713904.021,35370637
36,6972150.875,711068.6478,35370634
37,6946112.653,724346.2485,35370329
58,6946941.864,696720.632,35370750
59,6947331.366,695968.9831,35370751
56,6952988.478,695262.7116,35370752
57,6957198.219,694513.0868,35370753
62,6947762.366,718463.2838,35370870
63,6961226.074,692013.345,35370754
60,6963423.582,696476.6407,35370756
61,6964412.955,695827.4283,35370757
50,6948393.462,718313.3374,35370871
51,6945993.677,704012.8446,35370872
48,6950910.227,705148.675,35370873
49,6951843.141,718604.9522,35370874
54,6952210.417,718111.6163,35370875
55,6952690.888,718430.1853,35370876
52,6947082.255,718868.1896,35370877
53,6947692.761,718936.0671,35370878
10,6976824.848,724638.3469,35370563
11,6977416.899,728060.0392,35370564
8,6977341.805,728451.8747,35370565
9,6977594.38,728774.8394,35370566
14,6946924.123,717944.231,35370683
15,6977959.698,728813.3186,35370567
12,6976523.283,728455.9543,35370569
13,6946874.951,718549.6952,35370682
2,6946446.502,724166.9879,35370330
3,6947071.768,717502.008,35370684
1,6945979.381,716836.199,35370687
6,6947144.448,716431.649,35370688
7,6947097.732,715150.0892,35370689
4,6946175.488,723824.5244,35370331
5,6945848.262,717631.0574,35370685
26,6946181.494,724645.0378,35370328
27,6945523.953,724619.1257,35370325
24,6945299.223,724057.8919,35370322
25,6945836.669,724928.4926,35370327
30,6976314.666,707854.843,35370632
31,6945067.267,724440.2229,35370320
28,6945577.982,724872.6146,35370326
29,6976979.636,708761.3642,35370631
18,6984079.669,728208.4552,35370561
19,6981394.752,728086.8109,35370562
16,6976662.512,729043.5965,35370568
17,6947361.46,718254.8306,35370681
22,6981755.82,729959.2078,35370560
23,6945001.434,724215.1039,35370321
20,6945377.385,724401.8973,35370323
21,6945629.695,724349.2558,35370324
106,6968286.774,713170.74,35370647
107,6968875.959,712049.4502,35370644
104,6968434.156,712550.2558,35370646
105,6945975.872,705779.4558,35370869
110,6951643.649,721035.7227,35370522
111,6951523.346,722258.4718,35370525
108,6952124.057,721604.803,35370521
109,6968401.535,712330.6758,35370645
98,6954781.301,720130.5137,35370659
99,6969582.535,713367.654,35370642
96,6945290.5,706906.7601,35370743
97,6945282.605,707375.2318,35370744
